,tweet_id,retweet_count,fav_count
1221,711008018775851008,555,2733
1222,710997087345876993,1255,4194
1223,710844581445812225,608,2345
1224,710833117892898816,474,2458
1225,710658690886586372,512,2127
1226,710609963652087808,2149,4410
1227,710588934686908417,1689,4161
1228,710296729921429505,667,2190
1229,710283270106132480,477,1984
1230,710272297844797440,1136,4132
1231,710269109699739648,1008,2189
1232,710153181850935296,806,2670
1233,710140971284037632,798,2511
1234,710117014656950272,1776,5005
1235,709918798883774466,990,3217
1236,709901256215666688,92,603
1237,709852847387627521,1082,3220
1238,709566166965075968,1069,3242
1239,709556954897764353,972,3009
1240,709519240576036864,219,1380
1241,709449600415961088,516,2018
1242,709409458133323776,616,2417
1243,709225125749587968,520,2197
1244,709207347839836162,5157,11359
1245,709198395643068416,587,2260
1246,709179584944730112,605,1847
1247,709158332880297985,362,1870
1248,709042156699303936,1472,4310
1249,708853462201716736,591,1665
1250,708845821941387268,799,2734
1251,708834316713893888,448,1547
1252,708810915978854401,6228,15162
1253,708738143638450176,735,2528
1254,708711088997666817,637,2327
1255,708479650088034305,617,2337
1256,708469915515297792,729,2838
1257,708400866336894977,9013,14602
1258,708356463048204288,1192,3287
1259,708349470027751425,675,2183
1260,708149363256774660,1405,3973
1261,708130923141795840,781,3083
1262,708119489313951744,894,2466
1263,708109389455101952,498,1792
1264,708026248782585858,1742,4052
1265,707995814724026368,1008,2852
1266,707983188426153984,2,45
1267,707969809498152960,864,2479
1268,707776935007539200,869,3003
1269,707741517457260545,550,2284
1270,707738799544082433,2193,3719
1271,707693576495472641,915,3108
1272,707629649552134146,781,2348
1273,707610948723478529,5686,15521
1274,707420581654872064,628,2063
1275,707411934438625280,542,2111
1276,707387676719185920,1140,3199
1277,707377100785885184,973,2999
1278,707315916783140866,575,2279
1279,707297311098011648,707,2575
1280,707059547140169728,617,2394
1281,707038192327901184,715,2011
1282,707021089608753152,1219,3713
1283,707014260413456384,537,2102
1284,706904523814649856,7094,13370
1285,706901761596989440,520,1873
1286,706681918348251136,886,3014
1287,706644897839910912,979,2335
1288,706593038911545345,577,1978
1289,706538006853918722,1283,3177
1290,706516534877929472,927,2865
1291,706346369204748288,838,3158
1292,706310011488698368,7094,19435
1293,706291001778950144,433,1562
1294,706265994973601792,847,2508
1295,706169069255446529,1999,3575
1296,706166467411222528,1440,4703
1297,706153300320784384,343,1353
1298,705975130514706432,657,2850
1299,705970349788291072,791,2908
1300,705898680587526145,493,2174
1301,705786532653883392,465,1787
1302,705591895322394625,1017,2889
1303,705475953783398401,820,2725
1304,705442520700944385,1455,4044
1305,705428427625635840,1513,3488
1306,705239209544720384,674,2756
1307,705223444686888960,710,2361
1308,705102439679201280,472,1953
1309,705066031337840642,554,2002
1310,704871453724954624,1010,3944
1311,704859558691414016,474,2063
1312,704847917308362754,1358,4674
1313,704819833553219584,893,2432
1314,704761120771465216,2614,6105
1315,704499785726889984,897,2644
1316,704491224099647488,70,690
1317,704480331685040129,975,3131
1318,704364645503647744,3215,7294
1319,704347321748819968,311,1438
1320,704134088924532736,409,1379
1321,704113298707505153,518,1707
1322,704054845121142784,838,2673
1323,703774238772166656,403,1694
1324,703769065844768768,1014,2994
1325,703631701117943808,597,2356
1326,703611486317502464,1372,3524
1327,703425003149250560,1215,3481
1328,703407252292673536,623,2249
1329,703382836347330562,1023,3202
1330,703356393781329922,343,1755
1331,703268521220972544,494,1816
1332,703079050210877440,2789,6779
1333,703041949650034688,11259,24233
1334,702932127499816960,648,2357
1335,702899151802126337,409,1479
1336,702684942141153280,962,2960
1337,702671118226825216,505,2010
1338,702598099714314240,3115,11282
1339,702539513671897089,862,2630
1340,702332542343577600,1380,2920
1341,702321140488925184,947,3011
1342,702276748847800320,693,2273
1343,702217446468493312,1218,4373
1344,701981390485725185,885,3147
1345,701952816642965504,924,3530
1346,701889187134500865,1250,3232
1347,701805642395348998,1502,3102
1348,701601587219795968,416,1919
